Date, Close/Last, Volume, Open, High, Low
01/27/2017, $252.95, 3161774, $251.38, $253, $248.52
01/26/2017, $252.51, 3143717, $254.29, $255.74, $250.75
01/25/2017, $254.47, 5145301, $257.31, $258.46, $251.8
01/24/2017, $254.61, 4958144, $250, $254.8, $249.65
01/23/2017, $248.92, 6262097, $245.85, $250.8899, $245.5
01/20/2017, $244.73, 4199720, $245.46, $246, $243.01
01/19/2017, $243.76, 7717244, $247.25, $248.68, $240.75
01/18/2017, $238.36, 3767272, $236.65, $239.71, $235.58
01/17/2017, $235.58, 4614731, $236.7, $239.96, $234.37
01/13/2017, $237.75, 6085610, $230, $237.85, $229.59
01/12/2017, $229.59, 3787547, $229.06, $230.7, $225.58
01/11/2017, $229.73, 3649910, $229.07, $229.98, $226.68
01/10/2017, $229.87, 3658981, $232, $232, $226.89
01/09/2017, $231.28, 3972716, $228.97, $231.92, $228
01/06/2017, $229.01, 5524153, $226.93, $230.31, $225.45
01/05/2017, $226.75, 5908927, $226.42, $227.48, $221.95
01/04/2017, $226.99, 11204560, $214.75, $228, $214.31
01/03/2017, $216.99, 5901494, $214.86, $220.33, $210.96
12/30/2016, $213.69, 4641288, $216.3, $217.5, $211.68
12/29/2016, $214.68, 4043086, $218.56, $219.2, $214.1225
12/28/2016, $219.74, 3778544, $221.53, $223.8, $217.2
12/27/2016, $219.53, 5913335, $214.88, $222.25, $214.42
12/23/2016, $213.34, 4668263, $208, $213.45, $207.71
12/22/2016, $208.45, 3108427, $208.22, $209.99, $206.5
12/21/2016, $207.7, 5206143, $208.45, $212.23, $207.41
12/20/2016, $208.79, 4684269, $203.05, $209, $202.5
12/19/2016, $202.73, 3486937, $202.49, $204.45, $199.84
12/16/2016, $202.49, 3795444, $198.08, $202.59, $197.6
12/15/2016, $197.58, 3218653, $198.41, $200.74, $197.39
12/14/2016, $198.69, 4147314, $198.74, $203, $196.76
12/13/2016, $198.15, 6819322, $193.18, $201.28, $193
12/12/2016, $192.43, 2436428, $192.8, $194.42, $191.04
12/09/2016, $192.18, 2720937, $190.87, $193.836, $190.81
12/08/2016, $192.29, 3193684, $192.05, $192.5, $189.54
12/07/2016, $193.15, 5457071, $186.15, $193.4, $185
12/06/2016, $185.85, 3389365, $185.52, $186.58, $182.6825
12/05/2016, $186.8, 4069480, $182.51, $188.89, $182.51
12/02/2016, $181.47, 4040201, $182.88, $184.88, $180
12/01/2016, $181.88, 5119105, $188.25, $188.53, $181
11/30/2016, $189.4, 3544891, $191, $191.89, $187.5
11/29/2016, $189.57, 4435312, $195.56, $196.73, $189.5
11/28/2016, $196.12, 4521082, $195.48, $199.35, $194.55
11/25/2016, $196.65, 2366098, $193.64, $197.2372, $193.64
11/23/2016, $193.14, 4890285, $190.61, $195.644, $189
11/22/2016, $191.17, 5601238, $185.84, $191.47, $183.71
11/21/2016, $184.52, 4355872, $185.04, $188.89, $184.41
11/18/2016, $185.02, 5206473, $190.65, $193, $185
11/17/2016, $188.66, 4880969, $183.49, $189.49, $182.1101
11/16/2016, $183.93, 3432668, $182.65, $184.73, $181.21
11/15/2016, $183.77, 3899743, $182.78, $186.43, $182.05
11/14/2016, $181.45, 6547913, $188, $188.25, $178.19
11/11/2016, $188.56, 3987091, $184.24, $188.88, $183
11/10/2016, $185.35, 6746290, $191.05, $191.61, $180.42
11/09/2016, $190.06, 8166447, $186.875, $192, $183.95
11/08/2016, $194.94, 3252927, $193.79, $197.49, $191.26
11/07/2016, $193.21, 3857682, $193.59, $194.29, $190.05
11/04/2016, $190.56, 5143915, $189, $193.46, $185.96
11/03/2016, $187.42, 2644550, $189, $191.47, $187.0401
11/02/2016, $188.02, 4242250, $190.05, $192.6951, $187.505
11/01/2016, $190.79, 7023674, $198.04, $198.5, $188.105
10/31/2016, $197.73, 4691320, $202.49, $202.49, $195.81
10/28/2016, $199.97, 4273456, $204, $205.32, $199.83
10/27/2016, $204.01, 13070990, $211.34, $213.7, $201.65
10/26/2016, $202.24, 5346893, $201, $203.19, $200.1
10/25/2016, $202.34, 2442118, $202.9, $204.69, $201.2
10/24/2016, $202.76, 2747344, $201, $203.9452, $200.25
10/21/2016, $200.09, 2936908, $198.6, $201.57, $197.41
10/20/2016, $199.1, 5069410, $202.12, $203, $197.05
10/19/2016, $203.56, 6966185, $199.74, $206.66, $198.06
10/18/2016, $199.1, 5676046, $195.99, $199.47, $193.26
10/17/2016, $193.96, 4518331, $197.05, $198.39, $192
10/14/2016, $196.51, 4265471, $200.66, $201.43, $196.3
10/13/2016, $200.24, 2495140, $200.5, $200.895, $197.05
10/12/2016, $201.51, 1969099, $200.95, $203.88, $200.42
10/11/2016, $200.1, 2326754, $201.85, $202.2, $198.31
10/10/2016, $200.95, 3311340, $201.35, $204.14, $199.66
10/07/2016, $196.61, 3489480, $201, $201.32, $195.8
10/06/2016, $201, 4697937, $202.46, $204.2099, $200.21
10/05/2016, $208.46, 1872456, $212.24, $213.15, $208.12
10/04/2016, $211.41, 3537953, $213.1, $213.32, $208.82
10/03/2016, $213.7, 5989342, $212.3, $215.6688, $208.25
09/30/2016, $204.03, 2581730, $202.21, $204.98, $199.55
09/29/2016, $200.7, 2714040, $205.6, $207.33, $200.58
09/28/2016, $206.27, 2079324, $207.51, $208.25, $205.26
09/27/2016, $205.81, 3367907, $209.65, $209.9818, $204.6093
09/26/2016, $208.99, 2393373, $206.5, $211, $206.5
09/23/2016, $207.45, 2904125, $205.99, $210.18, $205.67
09/22/2016, $206.43, 2381600, $206.4, $207.28, $203
09/21/2016, $205.22, 2631285, $206.37, $207, $201.56
09/20/2016, $204.64, 2408556, $206.85, $207.75, $203.91
09/19/2016, $206.34, 2298318, $207, $209.43, $205
09/16/2016, $205.4, 3104266, $200.42, $205.7, $199
09/15/2016, $200.42, 3082942, $196.49, $202.5193, $196.4
09/14/2016, $196.41, 2256143, $195.75, $197.9248, $194.8562
09/13/2016, $196.05, 3583140, $197.06, $198.49, $193.45
09/12/2016, $198.3, 3714049, $195, $201.369, $194.1
09/09/2016, $194.47, 3753734, $199.09, $199.92, $193.7
09/08/2016, $197.36, 3372293, $199.55, $199.89, $196.36
09/07/2016, $201.71, 3637918, $205.5, $206.4968, $200.71
09/06/2016, $202.83, 4386193, $199.02, $203.25, $199
09/02/2016, $197.78, 5970154, $202.33, $203.2, $196.2
09/01/2016, $200.77, 7932444, $209.01, $211.0999, $200.5
08/31/2016, $212.01, 3274854, $210.43, $212.6, $208.65
08/30/2016, $211.34, 3164222, $216.11, $216.11, $210.52
08/29/2016, $215.2, 3261381, $220.15, $220.4, $215
08/26/2016, $219.99, 2238087, $222.14, $222.855, $218.82
08/25/2016, $220.96, 1760212, $223.11, $223.8, $220.77
08/24/2016, $222.62, 2566947, $227.05, $227.15, $222.22
08/23/2016, $224.84, 4747745, $224.32, $228.49, $222.8
08/22/2016, $222.93, 2061692, $224.17, $225.11, $222.68
08/19/2016, $225, 1658616, $223.54, $225.169, $222.53
08/18/2016, $223.51, 1699300, $223.82, $225.66, $222.29
